run,total,IU,T,seed,nodes,sim_time_s,distance_m,wall_s
284,1200,0.05,7.0,82,181,1080,5337.5,1167.3
285,1200,0.05,7.0,81,178,1080,5220.7,1180.6
286,1200,0.05,7.0,79,179,1080,5163.5,1205.6
287,1200,0.05,7.0,80,186,1080,5518.4,1220.5
288,1200,0.05,7.0,85,182,1080,5583.4,1174.5
289,1200,0.05,7.0,99,173,1080,5263.1,737.0
290,1200,0.05,7.0,86,197,1080,5526.5,1237.0
291,1200,0.05,7.0,91,181,1080,5070.2,1114.6
292,1200,0.05,7.0,87,192,1080,5367.3,1230.5
293,1200,0.05,7.0,89,181,1080,5322.9,1255.2
294,1200,0.05,7.0,90,186,1080,5436.0,1245.0
295,1200,0.05,7.0,96,180,1080,5337.2,1174.5
296,1200,0.05,7.0,94,188,1080,5555.0,1239.0
297,1200,0.05,7.0,93,176,1080,5425.6,1256.2
298,1200,0.05,7.0,97,172,1080,5131.5,1174.5
299,1200,0.05,7.0,95,183,1080,5331.1,1261.9
300,1200,0.1,3.0,3,288,1080,7332.6,1070.1
301,1200,0.1,3.0,6,298,1080,8141.6,1047.7
302,1200,0.05,7.0,98,167,1080,5182.4,1161.7
303,1200,0.1,3.0,12,289,1080,7774.6,1096.1
304,1200,0.1,3.0,1,295,1080,7657.3,1439.4
305,1200,0.1,3.0,16,291,1080,8191.0,1060.9
306,1200,0.1,3.0,9,292,1080,7667.3,1351.4
307,1200,0.1,3.0,26,282,1080,7592.2,1044.4
308,1200,0.1,3.0,17,287,1080,7758.6,1168.8
309,1200,0.1,3.0,0,293,1080,7949.7,1690.6
310,1200,0.1,3.0,2,279,1080,7923.8,1725.2
311,1200,0.1,3.0,7,277,1080,7264.5,1690.5
312,1200,0.1,3.0,8,297,1080,7853.4,1688.3
313,1200,0.1,3.0,5,293,1080,7630.9,1760.5
314,1200,0.1,3.0,14,297,1080,7949.4,1485.8
315,1200,0.1,3.0,4,279,1080,7895.7,1824.7
316,1200,0.1,3.0,10,288,1080,7746.2,1761.4
317,1200,0.1,3.0,23,295,1080,7560.8,1507.0
318,1200,0.1,3.0,29,300,969,5603.1,1488.0
319,1200,0.1,3.0,31,279,1080,7971.3,1453.7
320,1200,0.1,3.0,11,292,1080,7769.6,1765.1
321,1200,0.1,3.0,13,291,1080,7789.3,1764.1
322,1200,0.1,3.0,15,273,1080,7230.8,1693.6
323,1200,0.1,3.0,40,298,1080,8121.8,1145.8
324,1200,0.1,3.0,46,289,1080,7547.4,1020.7
325,1200,0.1,3.0,25,288,1080,7702.8,1652.7
326,1200,0.1,3.0,21,291,1080,7590.4,1688.2
327,1200,0.1,3.0,18,287,1080,7944.2,1756.9
328,1200,0.1,3.0,28,295,1080,7923.8,1688.3
329,1200,0.1,3.0,20,297,1080,7451.2,1762.2
330,1200,0.1,3.0,19,291,1080,8150.8,1772.8
331,1200,0.1,3.0,22,284,1080,7441.4,1757.7
332,1200,0.1,3.0,30,286,1080,7489.1,1723.0
333,1200,0.1,3.0,27,285,1080,8091.4,1789.1
334,1200,0.1,3.0,24,292,1080,7973.0,1797.6
335,1200,0.1,3.0,32,296,1080,7699.8,1744.9
336,1200,0.1,3.0,33,297,1080,7512.4,1753.7
337,1200,0.1,3.0,34,273,1080,7458.3,1726.4
338,1200,0.1,3.0,47,284,1080,8097.5,1263.5
339,1200,0.1,3.0,35,290,1080,7532.3,1664.4
340,1200,0.1,3.0,49,280,1080,7756.2,1055.1
341,1200,0.1,3.0,37,297,1080,7856.2,1652.7
342,1200,0.1,3.0,45,292,1080,7510.2,1410.7
343,1200,0.1,3.0,51,293,1080,7922.2,1047.9
344,1200,0.1,3.0,36,298,1080,7822.9,1767.6
345,1200,0.1,3.0,41,283,1080,7803.8,1572.9
346,1200,0.1,3.0,54,291,1080,7725.3,1075.7
347,1200,0.1,3.0,38,296,1080,7947.6,1824.0
348,1200,0.1,3.0,39,299,1080,8068.2,1765.0
349,1200,0.1,3.0,48,279,1080,7659.3,1622.1
350,1200,0.1,3.0,42,297,1080,7696.8,1717.5
351,1200,0.1,3.0,43,297,1080,7789.3,1725.0
352,1200,0.1,3.0,44,287,1080,7915.9,1808.7
353,1200,0.1,3.0,53,291,1080,7601.7,1399.2
354,1200,0.1,3.0,50,277,1080,7377.2,1678.7
355,1200,0.1,3.0,69,292,1080,7833.0,1086.8
356,1200,0.1,3.0,52,278,1080,7633.8,1688.5
357,1200,0.1,3.0,70,296,1080,7728.0,1063.9
358,1200,0.1,3.0,55,296,1080,7857.1,1606.2
359,1200,0.1,3.0,60,292,1080,7628.2,1509.0
360,1200,0.1,3.0,56,296,1080,7717.2,1655.7
361,1200,0.1,3.0,59,286,1080,7671.7,1663.5
362,1200,0.1,3.0,58,281,1080,8167.3,1706.5
363,1200,0.1,3.0,65,292,1080,7991.3,1492.8
364,1200,0.1,3.0,86,296,1080,7579.1,1107.5
365,1200,0.1,3.0,87,298,1080,7668.8,1070.7
366,1200,0.1,3.0,82,297,1080,8001.1,1200.7
367,1200,0.1,3.0,57,294,1080,7792.6,1819.1
368,1200,0.1,3.0,63,290,1080,7845.4,1637.2
369,1200,0.1,3.0,61,299,1080,7778.9,1778.9
370,1200,0.1,3.0,89,294,1080,8016.6,1171.7
371,1200,0.1,3.0,66,294,1080,7881.6,1706.3
372,1200,0.1,3.0,91,298,1080,7413.6,1142.7
373,1200,0.1,3.0,75,290,1080,7471.8,1535.9
374,1200,0.1,3.0,71,276,1080,7642.2,1613.7
375,1200,0.1,3.0,67,295,1080,7547.7,1738.4
376,1200,0.1,3.0,72,292,1080,7740.1,1644.9
377,1200,0.1,3.0,64,278,1080,7852.1,1811.5
378,1200,0.1,3.0,79,290,1080,7871.9,1540.9
379,1200,0.1,3.0,62,289,1080,7761.1,1853.7
380,1200,0.1,3.0,68,285,1080,7548.3,1786.8
381,1200,0.1,3.0,73,298,1080,7699.6,1738.4
382,1200,0.1,3.0,74,291,1080,7682.7,1706.9
383,1200,0.1,3.0,77,292,1080,7523.7,1686.3
384,1200,0.1,3.0,76,294,1080,7797.0,1725.0
385,1200,0.1,3.0,88,298,1080,7694.0,1476.3
386,1200,0.1,3.0,78,293,1080,8310.2,1709.0
387,1200,0.1,3.0,90,295,1080,7978.8,1474.2
388,1200,0.1,5.0,3,190,1080,5518.4,823.0
389,1200,0.1,3.0,80,291,1080,7924.3,1732.3
390,1200,0.1,3.0,85,295,1080,7923.7,1638.1
391,1200,0.1,3.0,83,289,1080,7486.3,1653.6
392,1200,0.1,5.0,1,198,1080,5653.0,885.0
393,1200,0.1,3.0,84,284,1080,7513.9,1716.5
394,1200,0.1,3.0,81,290,1080,7605.0,1817.4
395,1200,0.1,3.0,92,294,1080,7914.7,1602.3
396,1200,0.1,5.0,2,183,1080,5303.1,1160.4
397,1200,0.1,5.0,10,189,1080,5623.5,842.8
398,1200,0.1,3.0,95,291,1080,7939.0,1605.1
399,1200,0.1,5.0,0,194,1080,5704.3,1217.5
400,1200,0.1,5.0,11,186,1080,5206.3,834.7
401,1200,0.1,3.0,97,279,1080,7574.2,1610.3
402,1200,0.1,3.0,98,267,1080,7387.1,1564.0
403,1200,0.1,5.0,4,188,1080,5370.8,1147.9
404,1200,0.1,3.0,94,289,1080,8032.4,1834.4
405,1200,0.1,5.0,19,188,1080,5419.1,799.2
406,1200,0.1,3.0,96,288,1080,7759.4,1806.6
407,1200,0.1,5.0,6,195,1080,5403.5,1145.6
408,1200,0.1,5.0,16,199,1080,5658.2,877.1
409,1200,0.1,3.0,93,291,1080,7984.6,1891.5
410,1200,0.1,5.0,5,201,1080,5441.8,1257.0
411,1200,0.1,3.0,99,285,1080,7677.7,1670.5
412,1200,0.1,5.0,12,187,1080,5651.9,1084.7
413,1200,0.1,5.0,24,190,1080,5515.7,855.5
414,1200,0.1,5.0,7,180,1080,5297.1,1228.4
415,1200,0.1,5.0,9,196,1080,5790.3,1256.3
416,1200,0.1,5.0,18,177,1080,5290.3,1032.6
