I_U,T_INT,seed,nodes_completed,sim_duration_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.070,7.000,4,20,138.000,2035.200,35.000,129.600,79.110,12.550,
0.070,7.000,5,20,172.000,1835.090,35.600,161.000,86.440,11.560,
0.070,7.000,6,20,249.000,1941.750,35.300,240.000,87.940,14.460,
0.070,7.000,7,20,185.000,1654.850,35.000,174.600,75.420,11.980,
0.070,7.000,8,20,250.000,1480.540,35.000,240.000,92.640,11.470,
0.070,7.000,9,20,171.000,1774.270,35.100,160.600,79.850,11.990,
0.080,3.000,0,20,116.000,1732.260,16.300,104.900,38.680,12.680,
0.080,3.000,1,20,105.000,1919.030,15.000,93.000,40.590,14.160,
0.080,3.000,2,20,148.000,1760.080,15.200,136.500,43.730,15.130,
0.080,3.000,3,20,111.000,1931.230,15.000,98.700,43.770,13.940,
0.080,3.000,4,20,72.000,2035.200,15.200,60.700,31.020,13.660,
0.080,3.000,5,20,109.000,1835.090,15.000,98.500,43.550,13.100,
0.080,3.000,6,20,145.000,1941.750,15.000,135.400,52.230,14.280,
0.080,3.000,7,20,119.000,1654.850,16.900,109.900,39.250,12.450,
0.080,3.000,8,20,109.000,1480.540,15.000,98.700,36.300,11.750,
0.080,3.000,9,20,103.000,1774.270,17.700,92.300,42.550,11.840,
0.080,3.500,0,20,127.000,1732.260,17.800,115.400,41.820,12.090,
0.080,3.500,1,20,117.000,1919.030,17.600,104.700,48.120,8.830,
0.080,3.500,2,20,161.000,1760.080,17.700,149.200,50.660,10.040,
0.080,3.500,3,20,116.000,1931.230,17.500,103.400,48.820,8.820,
0.080,3.500,4,20,125.000,2035.200,17.500,117.000,40.460,9.090,
0.080,3.500,5,20,125.000,1835.090,17.500,114.900,55.400,8.300,
0.080,3.500,6,20,156.000,1941.750,17.500,146.400,59.460,9.650,
0.080,3.500,7,20,134.000,1654.850,17.500,124.300,43.720,8.280,
0.080,3.500,8,20,117.000,1480.540,22.300,106.200,50.080,7.990,
0.080,3.500,9,20,113.000,1774.270,17.500,102.400,49.040,8.550,
0.080,4.000,0,20,134.000,1732.260,20.100,122.200,46.130,8.280,
0.080,4.000,1,20,156.000,1919.030,20.000,144.000,63.580,9.970,
0.080,4.000,2,20,171.000,1760.080,20.000,159.800,56.590,10.880,
0.080,4.000,3,20,121.000,1931.230,20.000,108.300,50.580,9.680,
