I_U,T_INT,seed,nodes_completed,sim_duration_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.070,6.000,2,20,229.000,1760.080,31.700,217.800,83.580,10.910,
0.070,6.000,3,20,169.000,1931.230,30.100,160.100,91.700,9.790,
0.070,6.000,4,20,152.000,2035.200,30.100,141.300,87.830,10.020,
0.070,6.000,5,20,168.000,1835.090,40.000,156.100,97.190,9.410,
0.070,6.000,6,20,190.000,1941.750,30.000,180.400,90.510,10.640,
0.070,6.000,7,20,175.000,1654.850,30.000,165.000,84.030,9.280,
0.070,6.000,8,20,219.000,1480.540,30.200,209.500,92.720,8.860,
0.070,6.000,9,20,166.000,1774.270,33.300,155.100,90.520,9.620,
0.070,6.500,0,20,173.000,1732.260,32.500,161.500,75.050,9.400,
0.070,6.500,1,20,214.000,1919.030,34.400,202.200,113.780,9.920,
0.070,6.500,2,20,251.000,1760.080,34.000,240.000,93.030,10.990,
0.070,6.500,3,20,175.000,1931.230,32.500,167.000,93.220,9.800,
0.070,6.500,4,20,171.000,2035.200,32.500,158.700,95.160,9.930,
0.070,6.500,5,20,172.000,1835.090,35.100,159.800,104.930,9.470,
0.070,6.500,6,20,199.000,1941.750,32.800,189.900,96.040,10.620,
0.070,6.500,7,20,184.000,1654.850,32.500,173.300,97.450,9.260,
0.070,6.500,8,20,250.000,1480.540,32.700,239.900,96.760,9.000,
0.070,6.500,9,20,169.000,1774.270,32.500,158.100,97.150,9.440,
0.070,7.000,0,20,178.000,1732.260,35.000,166.800,80.380,9.420,
0.070,7.000,1,20,221.000,1919.030,37.000,209.200,119.480,9.740,
0.070,7.000,2,20,251.000,1760.080,35.000,240.000,99.460,10.880,
0.070,7.000,3,20,185.000,1931.230,36.700,176.500,101.690,9.770,
0.070,7.000,4,20,179.000,2035.200,41.400,166.600,102.610,9.840,
0.070,7.000,5,20,178.000,1835.090,35.700,166.500,107.060,9.520,
0.070,7.000,6,20,249.000,1941.750,35.300,240.000,103.960,10.760,
0.070,7.000,7,20,192.000,1654.850,35.000,181.600,100.600,9.150,
0.070,7.000,8,20,250.000,1480.540,35.000,240.000,109.000,8.650,
0.070,7.000,9,20,175.000,1774.270,35.100,164.200,109.950,9.480,
